TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4439.00000        8.39818
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/3/2020     41        4     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            42        5     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/5/2020     43        7     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            44       10     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/7/2020     45       14     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            46       23     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/9/2020     47       33     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            48       52     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/11/2020    49       77     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            50      107     4439    -            1    23042    23042    23042
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/13/2020    51      163     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            52      206     4439     4838        1     4838     4838     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/15/2020    53      378     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            54      381     4439        0        0        0        0        0
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/17/2020    55      385     4439      410        1      410    28290    26322
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            56      455     4439      574        1      574    16318     6806
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/19/2020    57      523     4439      628        3      628     8175     2166
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            58      642     4439     1066        3     1066     8118     1886
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/21/2020    59      782     4439     2050        2     1886     5822     2706
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            60      954     4439     2870        1     2870    10414     3854
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/23/2020    61     1023     4439     3034        2     2870     8446     4346
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            62     1110     4439     2870        3     1394     5658     3362
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/25/2020    63     1222     4439     2870        3     1558     5494     3034
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            64     1297     4439     2661        2     1612     3788     2778
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/27/2020    65     1391     4439     2587        2     1770     3464     2678
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            66     1505     4439     2655        6     2025     5445     2745
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/29/2020    67     1594     4439     2649        4     2178     4532     2766
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            68     1682     4439     2670        4     2298     5061     2776
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 3/31/2020    69     1746     4439     2644        6     2208     3010     2696
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            70     1870     4439     2727        3     2539     4106     2894
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/2/2020     71     2003     4439     2870       10     2870    12874     5494
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            72     2109     4439     3034       10     3034    19434     6642
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/4/2020     73     2220     4439     3198        8     3198    19762     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            74     2285     4439     3198        7     2706    10414     6314
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/6/2020     75     2348     4439     3225        5     2583     5376     3449
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            76     2476     4439     3320        4     3211     5326     3645
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/8/2020     77     2602     4439     3464        3     3434     5825     3858
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            78     2708     4439     3526        7     3526     6806     5494
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/10/2020    79     2816     4439     3690        7     3690     9102     5822
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            80     2970     4439     3854        6     3854    30914     7462
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/12/2020    81     3053     4439     4018        7     4018    21730     7298
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            82     3126     4439     4018        7     3690    11398     6150
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/14/2020    83     3141     4439     4062        4     3226     6637     4564
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            84     3220     4439     4089        5     3400     5917     4538
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/16/2020    85     3294     4439     4105        4     3597     5544     4443
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            86     3376     4439     4182        7     3854     5494     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/18/2020    87     3431     4439     4182        6     3854     5166     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            88     3532     4439     4510        8     4182     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/20/2020    89     3590     4439     4346       12     4346    12382     5002
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            90     3614     4439     4346       13     3854     8118     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/22/2020    91     3646     4439     4274        5     3698     5310     4447
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            92     3727     4439     4317        7     4211     5061     4530
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/24/2020    93     3776     4439     4301        7     4301     4965     4582
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            94     3838     4439     4510       21     4346     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/26/2020    95     3894     4439     4510       17     4346    20582     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            96     3995     4439     4674       13     4510     8282     5494
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/28/2020    97     4025     4439     4838       20     4510     8118     5658
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .            98     4069     4439     4838       22     4346    12874     5494
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 4/30/2020    99     4116     4439     4838       25     4346     8282     5330
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           100     4132     4439     4845       13     4225     6128     4889
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/2/2020    101     4181     4439     4835       12     4358     5659     4835
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           102     4247     4439     4838       26     4674     5822     5330
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/4/2020    103     4258     4439     4838       27     4674     5494     5166
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           104     4261     4439     4907       11     4274     5253     4907
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/6/2020    105     4280     4439     4863       19     4301     5067     4710
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           106     4283     4439     4818       19     4298     4893     4670
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/8/2020    107     4285     4439     4771       20     4315     4771     4627
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           108     4292     4439     4724       20     4295     4724     4581
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/10/2020   109     4295     4439     4630       13     4300     4677     4583
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           110     4297     4439     4625       24     4326     4724     4625
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/12/2020   111     4303     4439     4674       22     4346     4838     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           112     4312     4439     4510       18     4346     4674     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/14/2020   113     4315     4439     4510       21     4346     4674     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           114     4318     4439     4510       31     4346     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/16/2020   115     4326     4439     4510       28     4346     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           116     4338     4439     4510       26     4346     5494     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/18/2020   117     4351     4439     4510       25     4346     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           118     4358     4439     4510       25     4346     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/20/2020   119     4368     4439     4510       27     4346     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           120     4378     4439     4510       31     4346     4674     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/22/2020   121     4388     4439     4510       33     4510     4838     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           122     4395     4439     4510       36     4510    21730    11398
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/24/2020   123     4404     4439     4510       37     4510     5330     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           124     4405     4439     4510       43     4510     5822     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/26/2020   125     4415     4439     4510       42     4510    13038     4838
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           126     4422     4439     4510       41     4510     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/28/2020   127     4425     4439     4510       43     4510     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           128     4428     4439     4510       47     4510     5330     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 5/30/2020   129     4429     4439     4510       52     4510     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           130     4430     4439     4510       55     4510     5166     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 6/1/2020    131     4432     4439     4510       58     4510     5002     4674
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           132     4432     4439     4491       43     4429     6004     4615
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 6/3/2020    133     4433     4439     4491       42     4441     4916     4566
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           134     4433     4439     4486       40     4438     4676     4581
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 6/5/2020    135     4433     4439     4492       39     4446     4585     4539
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           136     4434     4439     4510       64     4510     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 6/7/2020    137     4435     4439     4510       63     4510     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed .           138     4436     4439     4510       62     4510     4510     4510
TAB:  Italy_P.A._Trento_P_A_Trento Confirmed 6/9/2020    139     4439     4439        0        0        0        0        0
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .990426 cc2=  .582178 lx= 10.39818 if=  41 il=  46 3/8/2020   n=   5 now=    4439 end=      32800        23         0 U=    23.17 T=   91.9 p1= 638.9 p2=    13.5 ed=   146 6/16/2020   x1=  41. x2=  46. y1=  2.20 y2=  1.98     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/8/2020         46    4439    -          23        0     0   146 6/16/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .992093 cc2=  .614129 lx= 10.39818 if=  41 il=  47 3/9/2020   n=   6 now=    4439 end=      32800        33         0 U=    22.49 T=   90.4 p1= 638.9 p2=    13.5 ed=   143 6/13/2020   x1=  41. x2=  47. y1=  2.20 y2=  1.93     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/9/2020         47    4439    -          33        0     0   143 6/13/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .995790 cc2=  .587542 lx= 10.39818 if=  42 il=  47 3/9/2020   n=   5 now=    4439 end=      32800        33         0 U=    20.69 T=   87.0 p1= 638.9 p2=    13.5 ed=   135 6/5/2020    x1=  42. x2=  47. y1=  2.17 y2=  1.93     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/9/2020         47    4439    -          33        0     0   135 6/5/2020  
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .991640 cc2=  .638087 lx= 10.39818 if=  41 il=  48 3/10/2020  n=   7 now=    4439 end=      32800        52         0 U=    20.90 T=   86.9 p1= 638.9 p2=    13.5 ed=   136 6/6/2020    x1=  41. x2=  48. y1=  2.20 y2=  1.86     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/10/2020        48    4439    -          52        0     0   136 6/6/2020  
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .995192 cc2=  .617228 lx= 10.39818 if=  42 il=  48 3/10/2020  n=   6 now=    4439 end=      32800        52         0 U=    19.36 T=   84.1 p1= 638.9 p2=    13.5 ed=   129 5/30/2020   x1=  42. x2=  48. y1=  2.17 y2=  1.86     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/10/2020        48    4439    -          52        0     0   129 5/30/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .996330 cc2=  .588081 lx= 10.39818 if=  43 il=  48 3/10/2020  n=   5 now=    4439 end=      32800        52         0 U=    18.46 T=   82.4 p1= 638.9 p2=    13.5 ed=   125 5/26/2020   x1=  43. x2=  48. y1=  2.13 y2=  1.86     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/10/2020        48    4439    -          52        0     0   125 5/26/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .992177 cc2=  .658844 lx= 10.39818 if=  41 il=  49 3/11/2020  n=   8 now=    4439 end=      32800        77         0 U=    20.11 T=   85.2 p1= 638.9 p2=    13.5 ed=   132 6/2/2020    x1=  41. x2=  49. y1=  2.20 y2=  1.80     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/11/2020        49    4439    -          77        0     0   132 6/2/2020  
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .995505 cc2=  .641952 lx= 10.39818 if=  42 il=  49 3/11/2020  n=   7 now=    4439 end=      32800        77         0 U=    18.78 T=   82.8 p1= 638.9 p2=    13.5 ed=   127 5/28/2020   x1=  42. x2=  49. y1=  2.17 y2=  1.80     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/11/2020        49    4439    -          77        0     0   127 5/28/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .996871 cc2=  .618906 lx= 10.39818 if=  43 il=  49 3/11/2020  n=   6 now=    4439 end=      32800        77         0 U=    17.98 T=   81.4 p1= 638.9 p2=    13.5 ed=   123 5/24/2020   x1=  43. x2=  49. y1=  2.13 y2=  1.80     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/11/2020        49    4439    -          77        0     0   123 5/24/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998113 cc2=  .589864 lx= 10.39818 if=  44 il=  49 3/11/2020  n=   5 now=    4439 end=      32800        77         0 U=    17.21 T=   80.0 p1= 638.9 p2=    13.5 ed=   120 5/21/2020   x1=  44. x2=  49. y1=  2.09 y2=  1.80     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/11/2020        49    4439    -          77        0     0   120 5/21/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .993542 cc2=  .677314 lx= 10.39818 if=  41 il=  50 3/12/2020  n=   9 now=    4439 end=      32800       107     23042 U=    19.84 T=   84.6 p1= 638.9 p2=    13.5 ed=   131 6/1/2020    x1=  41. x2=  50. y1=  2.20 y2=  1.74     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/12/2020        50    4439    -         107    -         1   131 6/1/2020  
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .996482 cc2=  .663149 lx= 10.39818 if=  42 il=  50 3/12/2020  n=   8 now=    4439 end=      32800       107     23042 U=    18.67 T=   82.6 p1= 638.9 p2=    13.5 ed=   126 5/27/2020   x1=  42. x2=  50. y1=  2.17 y2=  1.74     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/12/2020        50    4439    -         107    -         1   126 5/27/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .997780 cc2=  .644227 lx= 10.39818 if=  43 il=  50 3/12/2020  n=   7 now=    4439 end=      32800       107     23042 U=    17.97 T=   81.4 p1= 638.9 p2=    13.5 ed=   123 5/24/2020   x1=  43. x2=  50. y1=  2.13 y2=  1.74     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/12/2020        50    4439    -         107    -         1   123 5/24/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998814 cc2=  .620850 lx= 10.39818 if=  44 il=  50 3/12/2020  n=   6 now=    4439 end=      32800       107     23042 U=    17.32 T=   80.2 p1= 638.9 p2=    13.5 ed=   121 5/22/2020   x1=  44. x2=  50. y1=  2.09 y2=  1.74     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/12/2020        50    4439    -         107    -         1   121 5/22/2020 
AAA1     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .999481 cc2=  .591233 lx= 10.04818 if=  45 il=  50 3/12/2020  n=   5 now=    4439 end=      23113       107     23042 U=    15.58 T=   76.2 p1= 420.7 p2=    19.2 ed=   112 5/13/2020   x1=  45. x2=  50. y1=  2.00 y2=  1.68 BEST
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .999481 cc2=  .591233 lx= 10.05218 if=  45 il=  50 3/12/2020  n=   5 now=    4439 end=      23113       107     23042 U=    15.58 T=   76.2 p1= 420.7 p2=    19.2 ed=   112 5/13/2020   x1=  45. x2=  50. y1=  2.00 y2=  1.68 BEST
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/12/2020        50    4439    -         107    -         1   112 5/13/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .993622 cc2=  .692111 lx= 10.39818 if=  41 il=  51 3/13/2020  n=  10 now=    4439 end=      32800       163         0 U=    18.87 T=   82.5 p1= 638.9 p2=    13.5 ed=   127 5/28/2020   x1=  41. x2=  51. y1=  2.20 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   127 5/28/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .996325 cc2=  .680097 lx= 10.39818 if=  42 il=  51 3/13/2020  n=   9 now=    4439 end=      32800       163         0 U=    17.82 T=   80.7 p1= 638.9 p2=    13.5 ed=   122 5/23/2020   x1=  42. x2=  51. y1=  2.17 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   122 5/23/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .997604 cc2=  .664271 lx= 10.39818 if=  43 il=  51 3/13/2020  n=   8 now=    4439 end=      32800       163         0 U=    17.17 T=   79.7 p1= 638.9 p2=    13.5 ed=   120 5/21/2020   x1=  43. x2=  51. y1=  2.13 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   120 5/21/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998603 cc2=  .645050 lx= 10.39818 if=  44 il=  51 3/13/2020  n=   7 now=    4439 end=      32800       163         0 U=    16.56 T=   78.6 p1= 638.9 p2=    13.5 ed=   117 5/18/2020   x1=  44. x2=  51. y1=  2.09 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   117 5/18/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .999241 cc2=  .621277 lx= 10.39818 if=  45 il=  51 3/13/2020  n=   6 now=    4439 end=      32800       163         0 U=    15.78 T=   77.3 p1= 638.9 p2=    13.5 ed=   114 5/15/2020   x1=  45. x2=  51. y1=  2.05 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   114 5/15/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998824 cc2=  .590576 lx= 10.39818 if=  46 il=  51 3/13/2020  n=   5 now=    4439 end=      32800       163         0 U=    15.91 T=   77.6 p1= 638.9 p2=    13.5 ed=   115 5/16/2020   x1=  46. x2=  51. y1=  1.98 y2=  1.67     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/13/2020        51    4439    -         163        0     0   115 5/16/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .994898 cc2=  .706222 lx= 10.39818 if=  41 il=  52 3/14/2020  n=  11 now=    4439 end=      32800       206      4838 U=    19.13 T=   83.0 p1= 638.9 p2=    13.5 ed=   128 5/29/2020   x1=  41. x2=  52. y1=  2.20 y2=  1.62     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/14/2020        52    4439    -         206     4838     1   128 5/29/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .997194 cc2=  .695683 lx= 10.39818 if=  42 il=  52 3/14/2020  n=  10 now=    4439 end=      32800       206      4838 U=    18.18 T=   81.5 p1= 638.9 p2=    13.5 ed=   124 5/25/2020   x1=  42. x2=  52. y1=  2.17 y2=  1.62     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/14/2020        52    4439    -         206     4838     1   124 5/25/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998258 cc2=  .682030 lx= 10.39818 if=  43 il=  52 3/14/2020  n=   9 now=    4439 end=      32800       206      4838 U=    17.61 T=   80.6 p1= 638.9 p2=    13.5 ed=   122 5/23/2020   x1=  43. x2=  52. y1=  2.13 y2=  1.62     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/14/2020        52    4439    -         206     4838     1   122 5/23/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .998980 cc2=  .665647 lx= 10.39818 if=  44 il=  52 3/14/2020  n=   8 now=    4439 end=      32800       206      4838 U=    17.10 T=   79.8 p1= 638.9 p2=    13.5 ed=   120 5/21/2020   x1=  44. x2=  52. y1=  2.09 y2=  1.62     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/14/2020        52    4439    -         206     4838     1   120 5/21/2020 
AAA2     1 Italy_P.A._Trento_P_A_Trento Confirmed cc1=  .999296 cc2=  .645743 lx= 10.39818 if=  45 il=  52 3/14/2020  n=   7 now=    4439 end=      32800       206      4838 U=    16.45 T=   78.7 p1= 638.9 p2=    13.5 ed=   117 5/18/2020   x1=  45. x2=  52. y1=  2.05 y2=  1.62     
GP: Confirmed Italy_P.A._Trento_P_A_Trento 3/14/2020        52    4439    -         206     4838     1   117 5/18/2020 
