TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       68135.00000       11.12925
TAB:  China_Hubei Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  China_Hubei Confirmed 1/23/2020     1      753    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .             2      931    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 1/25/2020     3     1290    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .             4     1794    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 1/27/2020     5     2413    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .             6     6027    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 1/29/2020     7     7171    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .             8     8315    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 1/31/2020     9     9847    68135    11861        1    11861    11861    11861
TAB:  China_Hubei Confirmed .            10    12131    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 2/2/2020     11    15352    68135    28948        1    28948    56638    56638
TAB:  China_Hubei Confirmed .            12    18573    68135    36500        1    36500    69224    41534
TAB:  China_Hubei Confirmed 2/4/2020     13    22909    68135    56638        1    56638    91880    59155
TAB:  China_Hubei Confirmed .            14    27012    68135    71742        1    71742   109501    76776
TAB:  China_Hubei Confirmed 2/6/2020     15    30373    68135    74259        1    74259   436745   109501
TAB:  China_Hubei Confirmed .            16    34275    68135    64190        1    64190   154811    89362
TAB:  China_Hubei Confirmed 2/8/2020     17    37224    68135    55156        1    55156   170163    83321
TAB:  China_Hubei Confirmed .            18    40701    68135    65154        2    59762   110986    82229
TAB:  China_Hubei Confirmed 2/10/2020    19    43581    68135    90952        2    62324    90952    76042
TAB:  China_Hubei Confirmed .            20    46392    68135    67923        2    64055    87260    70340
TAB:  China_Hubei Confirmed 2/12/2020    21    49133    68135    66708        3    66708    84206    76769
TAB:  China_Hubei Confirmed .            22    51804    68135    76830        4    69003    80126    74358
TAB:  China_Hubei Confirmed 2/14/2020    23    54406    68135    71555        3    71076    83042    76820
TAB:  China_Hubei Confirmed .            24    56249    68135    76159        5    71761    79357    76159
TAB:  China_Hubei Confirmed 2/16/2020    25    58182    68135    75434        6    70339    77785    74650
TAB:  China_Hubei Confirmed .            26    59989    68135    75460        5    71580    77012    74684
TAB:  China_Hubei Confirmed 2/18/2020    27    61682    68135    75476        8    73172    76244    74708
TAB:  China_Hubei Confirmed .            28    62031    68135    72444        5    66740    74726    70923
TAB:  China_Hubei Confirmed 2/20/2020    29    62442    68135    70303        6    62922    73255    68826
TAB:  China_Hubei Confirmed .            30    62662    68135    68911        4    62761    71805    67464
TAB:  China_Hubei Confirmed 2/22/2020    31    64084    68135    68225        4    66793    71090    68941
TAB:  China_Hubei Confirmed .            32    64185    68135    67546        4    66128    70383    68255
TAB:  China_Hubei Confirmed 2/24/2020    33    64287    68135    66209        4    64819    68989    67599
TAB:  China_Hubei Confirmed .            34    64786    68135    66238        7    65550    68302    66926
TAB:  China_Hubei Confirmed 2/26/2020    35    65187    68135    66926        9    66238    68302    67614
TAB:  China_Hubei Confirmed .            36    65596    68135    66707       20    66707    69224    69224
TAB:  China_Hubei Confirmed 2/28/2020    37    65914    68135    66707       20    66707    69224    69224
TAB:  China_Hubei Confirmed .            38    66337    68135    66707       18    66707    71742    69224
TAB:  China_Hubei Confirmed 3/1/2020     39    66907    68135    69224       19    69224    74259    74259
TAB:  China_Hubei Confirmed .            40    67103    68135    69224       19    69224    91880    74259
TAB:  China_Hubei Confirmed 3/3/2020     41    67217    68135    69224       22    66707    84328    71742
TAB:  China_Hubei Confirmed .            42    67332    68135    68316       22    67500    70763    68724
TAB:  China_Hubei Confirmed 3/5/2020     43    67466    68135    68255       23    68255    70383    69673
TAB:  China_Hubei Confirmed .            44    67592    68135    68294       23    68294    68989    68989
TAB:  China_Hubei Confirmed 3/7/2020     45    67666    68135    68279       25    68279    69683    68981
TAB:  China_Hubei Confirmed .            46    67707    68135    68302       31    68302    68302    68302
TAB:  China_Hubei Confirmed 3/9/2020     47    67743    68135    68302       35    68302    68302    68302
TAB:  China_Hubei Confirmed .            48    67760    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/11/2020    49    67773    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            50    67781    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/13/2020    51    67786    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            52    67790    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/15/2020    53    67794    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            54    67798    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/17/2020    55    67799    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            56    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/19/2020    57    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            58    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/21/2020    59    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            60    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/23/2020    61    67800    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            62    67801    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/25/2020    63    67801    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            64    67801    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 3/27/2020    65    67801    68135    67178       14    67178   428722   428722
TAB:  China_Hubei Confirmed .            66    67801    68135    69238       14    69238   428342   428342
TAB:  China_Hubei Confirmed 3/29/2020    67    67801    68135    69238       14    69238   428342   428342
TAB:  China_Hubei Confirmed .            68    67801    68135    69224       14    69224   469469   429193
TAB:  China_Hubei Confirmed 3/31/2020    69    67801    68135    69224       14    69224   469469   469469
TAB:  China_Hubei Confirmed .            70    67802    68135    69224       16    69224   489608   451849
TAB:  China_Hubei Confirmed 4/2/2020     71    67802    68135    69224       16    69224   484573   451849
TAB:  China_Hubei Confirmed .            72    67802    68135    68928       17    68928   451061   451061
TAB:  China_Hubei Confirmed 4/4/2020     73    67803    68135    68535       14    68535   484735   437383
TAB:  China_Hubei Confirmed .            74    67803    68135    68928       13    68928   465572   446224
TAB:  China_Hubei Confirmed 4/6/2020     75    67803    68135    68928       14    68928   465572   451061
TAB:  China_Hubei Confirmed .            76    67803    68135    68928       14    68928   460735   446224
TAB:  China_Hubei Confirmed 4/8/2020     77    67803    68135    68928       15    68928   460735   446224
TAB:  China_Hubei Confirmed .            78    67803    68135    68928       14    68928   460735   446224
TAB:  China_Hubei Confirmed 4/10/2020    79    67803    68135    68779       16    68779   447627   443117
TAB:  China_Hubei Confirmed .            80    67803    68135    68779       18    68779   429587   429587
TAB:  China_Hubei Confirmed 4/12/2020    81    67803    68135    68928       21    68928   451061   451061
TAB:  China_Hubei Confirmed .            82    67803    68135    68928       22    68928   451061   451061
TAB:  China_Hubei Confirmed 4/14/2020    83    67803    68135    67417       21    67417    67417    67417
TAB:  China_Hubei Confirmed .            84    67803    68135    67417       21    67417    67417    67417
TAB:  China_Hubei Confirmed 4/16/2020    85    67803    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed .            86    68128    68135        0        0        0        0        0
TAB:  China_Hubei Confirmed 4/18/2020    87    68128    68135    68989        1    68989    68989    68989
TAB:  China_Hubei Confirmed .            88    68128    68135    68911        1    68911    69634    69634
TAB:  China_Hubei Confirmed 4/20/2020    89    68128    68135    -            8    69224   464435   459400
TAB:  China_Hubei Confirmed .            90    68128    68135    -            9    69224   464435   459400
TAB:  China_Hubei Confirmed 4/22/2020    91    68128    68135    -            9    69224   464435   459400
TAB:  China_Hubei Confirmed .            92    68128    68135    -            7    69224   464435   404021
TAB:  China_Hubei Confirmed 4/24/2020    93    68128    68135    -            5    69224   499677   441780
TAB:  China_Hubei Confirmed .            94    68128    68135    -            5    69224   499677   459400
TAB:  China_Hubei Confirmed 4/26/2020    95    68128    68135    -            3    69224   499677   441780
TAB:  China_Hubei Confirmed .            96    68128    68135    -            4    69224   499677   459400
TAB:  China_Hubei Confirmed 4/28/2020    97    68128    68135    -            6    69224   499677   464435
TAB:  China_Hubei Confirmed .            98    68128    68135    -            4    69224   499677   464435
TAB:  China_Hubei Confirmed 4/30/2020    99    68128    68135    -            5    69224   499677   464435
TAB:  China_Hubei Confirmed .           100    68128    68135    -            5    69224   499677   464435
TAB:  China_Hubei Confirmed 5/2/2020    101    68128    68135    -            6    69224   499677   464435
TAB:  China_Hubei Confirmed .           102    68128    68135    -            4    69224   499677   464435
TAB:  China_Hubei Confirmed 5/4/2020    103    68128    68135    -            5    69224   499677   464435
TAB:  China_Hubei Confirmed .           104    68128    68135    -            7    69224   499677   404021
TAB:  China_Hubei Confirmed 5/6/2020    105    68128    68135    -            5    69224   499677   464435
TAB:  China_Hubei Confirmed .           106    68128    68135    -            7    69224   499677   464435
TAB:  China_Hubei Confirmed 5/8/2020    107    68128    68135    -            8    69224   499677   499677
TAB:  China_Hubei Confirmed .           108    68129    68135    69224       23    69224    69224    69224
TAB:  China_Hubei Confirmed 5/10/2020   109    68134    68135    69224       34    69224   149777   149777
TAB:  China_Hubei Confirmed .           110    68134    68135    69224       37    69224    86845    86845
TAB:  China_Hubei Confirmed 5/12/2020   111    68134    68135    69224       38    69224   499677   494642
TAB:  China_Hubei Confirmed .           112    68134    68135    69224       40    69224   499677   454366
TAB:  China_Hubei Confirmed 5/14/2020   113    68134    68135    69224       42    69224   499677   459400
TAB:  China_Hubei Confirmed .           114    68134    68135    69224       43    69224   499677   459400
TAB:  China_Hubei Confirmed 5/16/2020   115    68134    68135    69224       44    69224   499677   451849
TAB:  China_Hubei Confirmed .           116    68134    68135    67178       43    67178   484908   450708
TAB:  China_Hubei Confirmed 5/18/2020   117    68135    68135    69224       11    69224   489608   451849
TAB:  China_Hubei Confirmed .           118    68135    68135    69224       17    69224   459400   441780
TAB:  China_Hubei Confirmed 5/20/2020   119    68135    68135    69224       23    69224   441780   441780
TAB:  China_Hubei Confirmed .           120    68135    68135    69224       25    69224   494642   484573
TAB:  China_Hubei Confirmed 5/22/2020   121    68135    68135    69224       23    69224   484573   446814
TAB:  China_Hubei Confirmed .           122    68135    68135    69224       21    69224   494642   489608
TAB:  China_Hubei Confirmed 5/24/2020   123    68135    68135    69224       20    69224   489608   434228
TAB:  China_Hubei Confirmed .           124    68135    68135    69224       19    69224   489608   434228
TAB:  China_Hubei Confirmed 5/26/2020   125    68135    68135    69224       18    69224   489608   434228
TAB:  China_Hubei Confirmed .           126    68135    68135    69224       18    69224   489608   424159
TAB:  China_Hubei Confirmed 5/28/2020   127    68135    68135    69224       17    69224   489608   424159
TAB:  China_Hubei Confirmed .           128    68135    68135    69224       17    69224   489608   446814
TAB:  China_Hubei Confirmed 5/30/2020   129    68135    68135    69224       16    69224   489608   446814
TAB:  China_Hubei Confirmed .           130    68135    68135    69224       15    69224   464435   446814
TAB:  China_Hubei Confirmed 6/1/2020    131    68135    68135    69224       15    69224   446814   424159
TAB:  China_Hubei Confirmed .           132    68135    68135    69224       12    69224   424159   424159
TAB:  China_Hubei Confirmed 6/3/2020    133    68135    68135    69224       12    69224   424159   424159
TAB:  China_Hubei Confirmed .           134    68135    68135    69224       12    69224   446814   446814
TAB:  China_Hubei Confirmed 6/5/2020    135    68135    68135    69224       11    69224   424159   424159
TAB:  China_Hubei Confirmed .           136    68135    68135    69224       11    69224    69224    69224
TAB:  China_Hubei Confirmed 6/7/2020    137    68135    68135    69224       11    69224    69224    69224
TAB:  China_Hubei Confirmed .           138    68135    68135    69224       10    69224    69224    69224
TAB:  China_Hubei Confirmed 6/9/2020    139    68135    68135    69224       10    69224    69224    69224
AAA2     1 China_Hubei Confirmed cc1=  .974167 cc2=  .565919 lx=  9.35925 if=   3 il=   8 1/30/2020  n=   5 now=   68135 end=      11605      8315         0 U=     2.65 T=    5.1 p1= -83.0 p2=   587.1 ed=    11 2/2/2020    x1=   3. x2=   8. y1=   .79 y2= -1.10     
GP: Confirmed China_Hubei 1/30/2020         8   68135    11605    8315        0     0    11 2/2/2020  
AAA2     1 China_Hubei Confirmed cc1=  .983802 cc2=  .605838 lx=  9.48925 if=   3 il=   9 1/31/2020  n=   6 now=   68135 end=      13216      9847     11861 U=     2.90 T=    5.5 p1= -80.6 p2=   515.5 ed=    12 2/3/2020    x1=   3. x2=   9. y1=   .84 y2= -1.22     
GP: Confirmed China_Hubei 1/31/2020         9   68135    13216    9847    11861     1    12 2/3/2020  
