TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020         712.00000        6.56808
TAB:  Diamond_Princess Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Diamond_Princess Confirmed 1/23/2020     1        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .             2        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 1/25/2020     3        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .             4        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 1/27/2020     5        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .             6        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 1/29/2020     7        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .             8        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 1/31/2020     9        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            10        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/2/2020     11        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            12        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/4/2020     13        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            14        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/6/2020     15        0      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            16       61      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/8/2020     17       61      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            18       64      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/10/2020    19      135      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            20      155      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 2/12/2020    21      175      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            22      175      712      183        1      183      183      183
TAB:  Diamond_Princess Confirmed 2/14/2020    23      218      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            24      285      712      775        1      775      775      775
TAB:  Diamond_Princess Confirmed 2/16/2020    25      355      712     1249        1     1249     2170     2170
TAB:  Diamond_Princess Confirmed .            26      454      712    -            1     4221     4221     4221
TAB:  Diamond_Princess Confirmed 2/18/2020    27      542      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            28      621      712     1591        1     1591     3090     3090
TAB:  Diamond_Princess Confirmed 2/20/2020    29      634      712      775        1      775     5116     2854
TAB:  Diamond_Princess Confirmed .            30      634      712      644        1      644     4669     2196
TAB:  Diamond_Princess Confirmed 2/22/2020    31      634      712      636        2      636     2489     1442
TAB:  Diamond_Princess Confirmed .            32      691      712      764        1      764     1175      939
TAB:  Diamond_Princess Confirmed 2/24/2020    33      691      712      728        2      728      912      755
TAB:  Diamond_Princess Confirmed .            34      691      712      723        6      723      881      775
TAB:  Diamond_Princess Confirmed 2/26/2020    35      705      712      717        5      709      756      732
TAB:  Diamond_Princess Confirmed .            36      705      712      720        7      712      742      727
TAB:  Diamond_Princess Confirmed 2/28/2020    37      705      712      709       10      709      727      720
TAB:  Diamond_Princess Confirmed .            38      705      712      709       11      709      720      720
TAB:  Diamond_Princess Confirmed 3/1/2020     39      705      712      710       11      710      710      710
TAB:  Diamond_Princess Confirmed .            40      705      712      710       11      710      710      710
TAB:  Diamond_Princess Confirmed 3/3/2020     41      706      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            42      706      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed 3/5/2020     43      706      712        0        0        0        0        0
TAB:  Diamond_Princess Confirmed .            44      706      712      723        4      723     5011     5011
TAB:  Diamond_Princess Confirmed 3/7/2020     45      706      712      723        3      723     5011     5011
TAB:  Diamond_Princess Confirmed .            46      706      712      723        2      723     5011     5011
