TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4225.00000        8.34877
TAB:  US_Michigan_Kent Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Kent Confirmed 1/23/2020     1        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .             2        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 1/25/2020     3        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .             4        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 1/27/2020     5        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .             6        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 1/29/2020     7        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .             8        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 1/31/2020     9        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            10        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/2/2020     11        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            12        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/4/2020     13        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            14        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/6/2020     15        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            16        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/8/2020     17        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            18        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/10/2020    19        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            20        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/12/2020    21        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            22        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/14/2020    23        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            24        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/16/2020    25        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            26        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/18/2020    27        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            28        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/20/2020    29        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            30        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/22/2020    31        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            32        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/24/2020    33        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            34        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/26/2020    35        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            36        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 2/28/2020    37        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            38        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/1/2020     39        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            40        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/3/2020     41        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            42        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/5/2020     43        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            44        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/7/2020     45        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            46        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/9/2020     47        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            48        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/11/2020    49        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            50        0     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/13/2020    51        3     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            52        3     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/15/2020    53        3     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            54        6     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/17/2020    55        6     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            56        6     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/19/2020    57        8     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            58       14     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/21/2020    59       25     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed .            60       27     4225        0        0        0        0        0
TAB:  US_Michigan_Kent Confirmed 3/23/2020    61       34     4225       78        1       78      390      390
TAB:  US_Michigan_Kent Confirmed .            62       38     4225       78        3       78      234      234
TAB:  US_Michigan_Kent Confirmed 3/25/2020    63       44     4225       78        5       78      234      234
TAB:  US_Michigan_Kent Confirmed .            64       50     4225       78        6       78      390      390
TAB:  US_Michigan_Kent Confirmed 3/27/2020    65       55     4225       75        3       75      185       98
TAB:  US_Michigan_Kent Confirmed .            66       65     4225       78        6       78     1482      390
TAB:  US_Michigan_Kent Confirmed 3/29/2020    67       88     4225      390        2      390      858      546
TAB:  US_Michigan_Kent Confirmed .            68      118     4225     1263        1     1263     2045     1289
TAB:  US_Michigan_Kent Confirmed 3/31/2020    69      133     4225     1951        2     1951     7726     3043
TAB:  US_Michigan_Kent Confirmed .            70      146     4225     1951        2      234     6165     1951
TAB:  US_Michigan_Kent Confirmed 4/2/2020     71      154     4225      234        3      234     3668     1482
TAB:  US_Michigan_Kent Confirmed .            72      167     4225      234        3      234     6633     1170
TAB:  US_Michigan_Kent Confirmed 4/4/2020     73      188     4225      702        3      234    12877     1170
TAB:  US_Michigan_Kent Confirmed .            74      203     4225      390        2      234     6633     1014
TAB:  US_Michigan_Kent Confirmed 4/6/2020     75      218     4225      546        4      234     1326      702
TAB:  US_Michigan_Kent Confirmed .            76      230     4225      324        2      305      936      547
TAB:  US_Michigan_Kent Confirmed 4/8/2020     77      255     4225      546        5      390    12409      702
TAB:  US_Michigan_Kent Confirmed .            78      287     4225      702        7      546      858      702
TAB:  US_Michigan_Kent Confirmed 4/10/2020    79      308     4225      702        8      546      858      702
TAB:  US_Michigan_Kent Confirmed .            80      333     4225      702        6      702    11316     1014
TAB:  US_Michigan_Kent Confirmed 4/12/2020    81      353     4225      858        9      546     1014      858
TAB:  US_Michigan_Kent Confirmed .            82      383     4225      858       10      702     5385     1014
TAB:  US_Michigan_Kent Confirmed 4/14/2020    83      400     4225      858       11      702     5541     1326
TAB:  US_Michigan_Kent Confirmed .            84      436     4225     1014       11      858    30359     4136
TAB:  US_Michigan_Kent Confirmed 4/16/2020    85      474     4225     1170        8     1014    28798     4292
TAB:  US_Michigan_Kent Confirmed .            86      530     4225     1482        6     1170     1638     1482
TAB:  US_Michigan_Kent Confirmed 4/18/2020    87      567     4225     1326        5     1326     1795     1638
TAB:  US_Michigan_Kent Confirmed .            88      620     4225     1482        5     1482     2263     1951
TAB:  US_Michigan_Kent Confirmed 4/20/2020    89      678     4225     1795        6     1795    17872     2575
TAB:  US_Michigan_Kent Confirmed .            90      772     4225     2263        4     2107     4604     3668
TAB:  US_Michigan_Kent Confirmed 4/22/2020    91      836     4225     2575        3     2575     6633     5072
TAB:  US_Michigan_Kent Confirmed .            92      900     4225     2887        3     2887     9131     5072
TAB:  US_Michigan_Kent Confirmed 4/24/2020    93     1000     4225     3512        2     3355    13813     5072
TAB:  US_Michigan_Kent Confirmed .            94     1026     4225     3824        2     1795    24271     7726
TAB:  US_Michigan_Kent Confirmed 4/26/2020    95     1138     4225     4292        2     2887    20681     8350
TAB:  US_Michigan_Kent Confirmed .            96     1215     4225     3199        2     3199    30359     9755
TAB:  US_Michigan_Kent Confirmed 4/28/2020    97     1305     4225     5229        3     3980    30671    11004
TAB:  US_Michigan_Kent Confirmed .            98     1395     4225     5072        2     4604    26925    11784
TAB:  US_Michigan_Kent Confirmed 4/30/2020    99     1479     4225     5072        2     2419    29735     9443
TAB:  US_Michigan_Kent Confirmed .           100     1600     4225     6633        4     5229    30359    15062
TAB:  US_Michigan_Kent Confirmed 5/2/2020    101     1697     4225     7258        2     6477    30359    11784
