TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4259.00000        8.35679
TAB:  Congo_Kinshasa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Congo_Kinshasa Confirmed 1/23/2020     1        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .             2        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 1/25/2020     3        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .             4        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 1/27/2020     5        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .             6        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 1/29/2020     7        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .             8        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 1/31/2020     9        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            10        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/2/2020     11        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            12        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/4/2020     13        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            14        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/6/2020     15        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            16        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/8/2020     17        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            18        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/10/2020    19        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            20        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/12/2020    21        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            22        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/14/2020    23        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            24        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/16/2020    25        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            26        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/18/2020    27        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            28        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/20/2020    29        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            30        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/22/2020    31        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            32        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/24/2020    33        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            34        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/26/2020    35        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            36        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 2/28/2020    37        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            38        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/1/2020     39        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            40        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/3/2020     41        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            42        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/5/2020     43        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            44        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/7/2020     45        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            46        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/9/2020     47        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            48        0     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/11/2020    49        1     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            50        1     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/13/2020    51        2     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            52        2     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/15/2020    53        2     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            54        2     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/17/2020    55        3     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            56        4     4259       77        1       77       77       77
TAB:  Congo_Kinshasa Confirmed 3/19/2020    57       14     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed .            58       18     4259        0        0        0        0        0
TAB:  Congo_Kinshasa Confirmed 3/21/2020    59       23     4259       78        1       78       78       78
TAB:  Congo_Kinshasa Confirmed .            60       30     4259       78        2       78      236      236
TAB:  Congo_Kinshasa Confirmed 3/23/2020    61       36     4259       78        4       78      236      236
TAB:  Congo_Kinshasa Confirmed .            62       45     4259       78        4       78     1337      708
TAB:  Congo_Kinshasa Confirmed 3/25/2020    63       48     4259       78        7       78     6529      236
TAB:  Congo_Kinshasa Confirmed .            64       51     4259       78        9       78      236      236
TAB:  Congo_Kinshasa Confirmed 3/27/2020    65       51     4259       77        9       77      114       83
TAB:  Congo_Kinshasa Confirmed .            66       65     4259       78       10       78      236      236
TAB:  Congo_Kinshasa Confirmed 3/29/2020    67       65     4259       78       12       78      393      393
TAB:  Congo_Kinshasa Confirmed .            68       81     4259      236        4       78     2124      236
TAB:  Congo_Kinshasa Confirmed 3/31/2020    69       98     4259      236        3      236     2596      550
TAB:  Congo_Kinshasa Confirmed .            70      109     4259      236        4      236    14239     1180
TAB:  Congo_Kinshasa Confirmed 4/2/2020     71      134     4259      393        2      236    10935     2281
TAB:  Congo_Kinshasa Confirmed .            72      134     4259      236        2      236     5900     1809
TAB:  Congo_Kinshasa Confirmed 4/4/2020     73      154     4259      393        5      236     5900      708
TAB:  Congo_Kinshasa Confirmed .            74      154     4259      236        6      236    18330     1337
TAB:  Congo_Kinshasa Confirmed 4/6/2020     75      161     4259      236        9      236    27614      865
TAB:  Congo_Kinshasa Confirmed .            76      180     4259      236        7      236     3382     1022
TAB:  Congo_Kinshasa Confirmed 4/8/2020     77      180     4259      232        3      223      761      327
TAB:  Congo_Kinshasa Confirmed .            78      180     4259      236       13      236      550      393
TAB:  Congo_Kinshasa Confirmed 4/10/2020    79      215     4259      393       10      393      550      550
TAB:  Congo_Kinshasa Confirmed .            80      223     4259      393       11      393     1022      550
TAB:  Congo_Kinshasa Confirmed 4/12/2020    81      234     4259      393       12      236     1022      550
TAB:  Congo_Kinshasa Confirmed .            82      235     4259      393       17      236    12980      550
TAB:  Congo_Kinshasa Confirmed 4/14/2020    83      241     4259      350       10      259     4990      412
TAB:  Congo_Kinshasa Confirmed .            84      254     4259      427        3      285      460      369
TAB:  Congo_Kinshasa Confirmed 4/16/2020    85      267     4259      393       24      393      708      550
TAB:  Congo_Kinshasa Confirmed .            86      287     4259      393       19      393     1180      865
TAB:  Congo_Kinshasa Confirmed 4/18/2020    87      307     4259      550       10      393     7631     1494
TAB:  Congo_Kinshasa Confirmed .            88      327     4259      550       11      393    13925     1652
TAB:  Congo_Kinshasa Confirmed 4/20/2020    89      332     4259      550       13      393    26040     1966
TAB:  Congo_Kinshasa Confirmed .            90      350     4259      550       14      393    23365     1966
TAB:  Congo_Kinshasa Confirmed 4/22/2020    91      359     4259      550       10      393    18016     1809
TAB:  Congo_Kinshasa Confirmed .            92      377     4259      550       12      550    10148     1809
TAB:  Congo_Kinshasa Confirmed 4/24/2020    93      394     4259      708       13      550     7945     1966
TAB:  Congo_Kinshasa Confirmed .            94      416     4259      708       10      550     9991     2281
TAB:  Congo_Kinshasa Confirmed 4/26/2020    95      442     4259      865        8      550    24781     3382
TAB:  Congo_Kinshasa Confirmed .            96      459     4259      708        8      708    19589     4484
TAB:  Congo_Kinshasa Confirmed 4/28/2020    97      471     4259      708        8      550    24309     3382
TAB:  Congo_Kinshasa Confirmed .            98      491     4259      708        9      550    18960     2753
TAB:  Congo_Kinshasa Confirmed 4/30/2020    99      572     4259      865        7      865    26355     1494
TAB:  Congo_Kinshasa Confirmed .           100      604     4259      865        4      865    23523     1652
TAB:  Congo_Kinshasa Confirmed 5/2/2020    101      674     4259     1809        2     1022    20218     2438
TAB:  Congo_Kinshasa Confirmed .           102      674     4259     1022        1     1022     5585     2596
TAB:  Congo_Kinshasa Confirmed 5/4/2020    103      682     4259     1180        4      708     6057     2438
TAB:  Congo_Kinshasa Confirmed .           104      705     4259      708        3      708     6529     2596
TAB:  Congo_Kinshasa Confirmed 5/6/2020    105      797     4259     1337        2     1337     9362     3540
TAB:  Congo_Kinshasa Confirmed .           106      863     4259     1966        1     1966    15026     5113
TAB:  Congo_Kinshasa Confirmed 5/8/2020    107      937     4259     2596        1     2596    28243     7159
TAB:  Congo_Kinshasa Confirmed .           108      964     4259     1337        1     1337    23051     8889
TAB:  Congo_Kinshasa Confirmed 5/10/2020   109      991     4259     1022        2     1022    22421     6844
TAB:  Congo_Kinshasa Confirmed .           110     1024     4259     1180        2     1022    26355     7473
TAB:  Congo_Kinshasa Confirmed 5/12/2020   111     1102     4259     6844        2     1652    22579     6844
TAB:  Congo_Kinshasa Confirmed .           112     1169     4259     2281        1     2281    28243     7788
TAB:  Congo_Kinshasa Confirmed 5/14/2020   113     1242     4259     3382        1     3382    28400     8889
TAB:  Congo_Kinshasa Confirmed .           114     1298     4259     8103        2     4012    29659    10148
TAB:  Congo_Kinshasa Confirmed 5/16/2020   115     1455     4259     4641        1     4641    24309    12980
TAB:  Congo_Kinshasa Confirmed .           116     1496     4259     5271        1     5271    30288    15498
TAB:  Congo_Kinshasa Confirmed 5/18/2020   117     1538     4259     1809        1     1809    25568    13295
TAB:  Congo_Kinshasa Confirmed .           118     1629     4259     2124        1     2124    27928    15026
TAB:  Congo_Kinshasa Confirmed 5/20/2020   119     1731     4259     2753        1     2753    27142    11407
TAB:  Congo_Kinshasa Confirmed .           120     1835     4259    -            2     5271    27142     7631
TAB:  Congo_Kinshasa Confirmed 5/22/2020   121     1945     4259     8575        1     8575    22893    16442
TAB:  Congo_Kinshasa Confirmed .           122     2025     4259    -            2     4326    26040    13452
TAB:  Congo_Kinshasa Confirmed 5/24/2020   123     2141     4259     4641        1     4641    29659    20848
TAB:  Congo_Kinshasa Confirmed .           124     2297     4259    11722        1    11722    16599    16599
TAB:  Congo_Kinshasa Confirmed 5/26/2020   125     2403     4259    -            1    12980    18645    18645
TAB:  Congo_Kinshasa Confirmed .           126     2546     4259    -            1    14397    21320    21320
TAB:  Congo_Kinshasa Confirmed 5/28/2020   127     2660     4259     4956        1     4956    23837    15970
TAB:  Congo_Kinshasa Confirmed .           128     2833     4259    -            1    17543    27142    21162
TAB:  Congo_Kinshasa Confirmed 5/30/2020   129     2966     4259    -            1    16599    30288    19904
