TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       11875.00000        9.38219
TAB:  US_Connecticut_New_Haven Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_New_Haven Confirmed 1/23/2020     1        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .             2        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 1/25/2020     3        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .             4        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 1/27/2020     5        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .             6        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 1/29/2020     7        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .             8        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 1/31/2020     9        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            10        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/2/2020     11        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            12        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/4/2020     13        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            14        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/6/2020     15        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            16        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/8/2020     17        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            18        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/10/2020    19        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            20        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/12/2020    21        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            22        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/14/2020    23        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            24        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/16/2020    25        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            26        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/18/2020    27        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            28        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/20/2020    29        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            30        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/22/2020    31        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            32        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/24/2020    33        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            34        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/26/2020    35        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            36        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 2/28/2020    37        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            38        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/1/2020     39        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            40        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/3/2020     41        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            42        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/5/2020     43        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            44        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/7/2020     45        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            46        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/9/2020     47        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            48        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/11/2020    49        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            50        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/13/2020    51        0    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            52        4    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/15/2020    53        4    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            54        4    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/17/2020    55        8    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            56       10    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/19/2020    57       23    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            58       23    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/21/2020    59       23    11875      219        1      219      219      219
TAB:  US_Connecticut_New_Haven Confirmed .            60       29    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/23/2020    61       41    11875      217        4      217      217      217
TAB:  US_Connecticut_New_Haven Confirmed .            62       89    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/25/2020    63      127    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed .            64      156    11875        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Confirmed 3/27/2020    65      222    11875      658        1      658     2412     2412
TAB:  US_Connecticut_New_Haven Confirmed .            66      236    11875      219        1      219     2851      658
TAB:  US_Connecticut_New_Haven Confirmed 3/29/2020    67      280    11875      658        3      219    77873     3290
TAB:  US_Connecticut_New_Haven Confirmed .            68      373    11875     1096        1     1096    68221     3290
TAB:  US_Connecticut_New_Haven Confirmed 3/31/2020    69      517    11875     2851        1     2851    36633    15136
TAB:  US_Connecticut_New_Haven Confirmed .            70      611    11875     3290        1     3290    70415    16890
TAB:  US_Connecticut_New_Haven Confirmed 4/2/2020     71      647    11875     1096        1     1096    76996    12942
TAB:  US_Connecticut_New_Haven Confirmed .            72      891    11875     5045        1     5045    68221    23471
TAB:  US_Connecticut_New_Haven Confirmed 4/4/2020     73     1024    11875     5484        1     5484    53305    15136
TAB:  US_Connecticut_New_Haven Confirmed .            74     1162    11875     5922        2     5922    83577    24349
TAB:  US_Connecticut_New_Haven Confirmed 4/6/2020     75     1468    11875     8555        1     8555    85332    20839
TAB:  US_Connecticut_New_Haven Confirmed .            76     1664    11875    10310        2    10310    71292    23033
TAB:  US_Connecticut_New_Haven Confirmed 4/8/2020     77     1664    11875     8387        2     4466    37580    16666
TAB:  US_Connecticut_New_Haven Confirmed .            78     2183    11875    23910        2    11187    54182    23910
TAB:  US_Connecticut_New_Haven Confirmed 4/10/2020    79     2383    11875    23033        2    12064    56376    23033
TAB:  US_Connecticut_New_Haven Confirmed .            80     2715    11875    23471        2    13381    72608    23910
TAB:  US_Connecticut_New_Haven Confirmed 4/12/2020    81     2946    11875    15316        2     4362    32581    18843
TAB:  US_Connecticut_New_Haven Confirmed .            82     3358    11875    22510        2     8018    32558    22510
TAB:  US_Connecticut_New_Haven Confirmed 4/14/2020    83     3543    11875    18450        2     5121    24624    16907
TAB:  US_Connecticut_New_Haven Confirmed .            84     3758    11875     4915        2     4915    21217    13751
TAB:  US_Connecticut_New_Haven Confirmed 4/16/2020    85     4163    11875     9108        2     6439    20131    13633
TAB:  US_Connecticut_New_Haven Confirmed .            86     4520    11875    13739        3     7915    21927    13921
TAB:  US_Connecticut_New_Haven Confirmed 4/18/2020    87     4743    11875    12942        3     8116    20400    14258
TAB:  US_Connecticut_New_Haven Confirmed .            88     4871    11875    12710        3     5447    16807    10568
TAB:  US_Connecticut_New_Haven Confirmed 4/20/2020    89     5272    11875     9339        2     8111    16179    11444
TAB:  US_Connecticut_New_Haven Confirmed .            90     5493    11875     9125        2     8217    15236    11107
TAB:  US_Connecticut_New_Haven Confirmed 4/22/2020    91     5811    11875    10310        5     8993    15574    12064
TAB:  US_Connecticut_New_Haven Confirmed .            92     6064    11875    10310        6     9432    18207    12503
TAB:  US_Connecticut_New_Haven Confirmed 4/24/2020    93     6286    11875    10149        4     7812    14384    11317
TAB:  US_Connecticut_New_Haven Confirmed .            94     6509    11875     9928        3     8117    13273    10764
TAB:  US_Connecticut_New_Haven Confirmed 4/26/2020    95     6715    11875    11280        4     8200    12886    10409
TAB:  US_Connecticut_New_Haven Confirmed .            96     6993    11875    10477        7     9409    13146    11010
TAB:  US_Connecticut_New_Haven Confirmed 4/28/2020    97     7089    11875    10093        5     8883    12258    10411
TAB:  US_Connecticut_New_Haven Confirmed .            98     7205    11875     9697        5     7616    12021     9941
TAB:  US_Connecticut_New_Haven Confirmed 4/30/2020    99     7536    11875    10040        7     9510    12095    10504
TAB:  US_Connecticut_New_Haven Confirmed .           100     7900    11875    10748       15    10310    17329    12064
TAB:  US_Connecticut_New_Haven Confirmed 5/2/2020    101     8024    11875    10748       18    10748    51550    12503
TAB:  US_Connecticut_New_Haven Confirmed .           102     8067    11875    10748       22     8116    26104    12064
TAB:  US_Connecticut_New_Haven Confirmed 5/4/2020    103     8110    11875    10737        6     8228    11532    10859
TAB:  US_Connecticut_New_Haven Confirmed .           104     8337    11875    10524        8     8984    11323    10752
TAB:  US_Connecticut_New_Haven Confirmed 5/6/2020    105     8419    11875    10306       12     8951    11210    10532
TAB:  US_Connecticut_New_Haven Confirmed .           106     8678    11875    10748       25    10310    11187    10748
TAB:  US_Connecticut_New_Haven Confirmed 5/8/2020    107     8887    11875    10748       30    10748    11626    11187
TAB:  US_Connecticut_New_Haven Confirmed .           108     9091    11875    10748       22    10748    13819    12064
TAB:  US_Connecticut_New_Haven Confirmed 5/10/2020   109     9209    11875    10748       20    10748    17329    12503
TAB:  US_Connecticut_New_Haven Confirmed .           110     9260    11875    10748       20     9432    49795    11626
TAB:  US_Connecticut_New_Haven Confirmed 5/12/2020   111     9430    11875    11187       18    10310    21716    12064
TAB:  US_Connecticut_New_Haven Confirmed .           112     9570    11875    11045       17    10357    15514    11732
TAB:  US_Connecticut_New_Haven Confirmed 5/14/2020   113     9712    11875    11187       27    10748    38827    12503
TAB:  US_Connecticut_New_Haven Confirmed .           114     9881    11875    11187       20    11187    26981    12942
TAB:  US_Connecticut_New_Haven Confirmed 5/16/2020   115    10075    11875    11626       27    11626    37510    13819
TAB:  US_Connecticut_New_Haven Confirmed .           116    10159    11875    11626       25    11626    36194    14258
TAB:  US_Connecticut_New_Haven Confirmed 5/18/2020   117    10338    11875    11626       22    11626    27420    14697
TAB:  US_Connecticut_New_Haven Confirmed .           118    10427    11875    11626       19    11187    36633    14258
TAB:  US_Connecticut_New_Haven Confirmed 5/20/2020   119    10587    11875    12064       19    11626    22155    14258
TAB:  US_Connecticut_New_Haven Confirmed .           120    10663    11875    11895       17    11895    18106    13536
TAB:  US_Connecticut_New_Haven Confirmed 5/22/2020   121    10756    11875    11970       12    11302    16057    13554
TAB:  US_Connecticut_New_Haven Confirmed .           122    10847    11875    12016       17    11394    15282    12871
TAB:  US_Connecticut_New_Haven Confirmed 5/24/2020   123    10905    11875    11975       12    11316    14099    12708
TAB:  US_Connecticut_New_Haven Confirmed .           124    11017    11875    12064       28    11626    14258    12942
TAB:  US_Connecticut_New_Haven Confirmed 5/26/2020   125    11121    11875    12064       25    12064    13819    12942
TAB:  US_Connecticut_New_Haven Confirmed .           126    11124    11875    12094       15    11860    14193    12716
TAB:  US_Connecticut_New_Haven Confirmed 5/28/2020   127    11198    11875    12095       11    11432    13155    12360
TAB:  US_Connecticut_New_Haven Confirmed .           128    11241    11875    12105       11    11384    13024    12237
TAB:  US_Connecticut_New_Haven Confirmed 5/30/2020   129    11309    11875    12245       14    11661    12895    12245
TAB:  US_Connecticut_New_Haven Confirmed .           130    11323    11875    12252       13    11545    12767    12124
TAB:  US_Connecticut_New_Haven Confirmed 6/1/2020    131    11479    11875    12243       22    12105    13002    12588
TAB:  US_Connecticut_New_Haven Confirmed .           132    11525    11875    12503       27    12064    19961    13381
TAB:  US_Connecticut_New_Haven Confirmed 6/3/2020    133    11548    11875    12503       31    11626    17768    13381
TAB:  US_Connecticut_New_Haven Confirmed .           134    11582    11875    12503       33    11626    13819    12942
TAB:  US_Connecticut_New_Haven Confirmed 6/5/2020    135    11673    11875    12503       44    12064    15136    13381
TAB:  US_Connecticut_New_Haven Confirmed .           136    11817    11875    12503       37    12503    22155    13819
TAB:  US_Connecticut_New_Haven Confirmed 6/7/2020    137    11828    11875    12942       33    12503    21716    14258
TAB:  US_Connecticut_New_Haven Confirmed .           138    11860    11875    12942       34    12064    61640    15136
TAB:  US_Connecticut_New_Haven Confirmed 6/9/2020    139    11875    11875    12942       35    12064    19961    14258
