TAB:  US_Tennessee_Davidson Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Tennessee_Davidson Deaths    1/23/2020     1        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .             2        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    1/25/2020     3        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .             4        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    1/27/2020     5        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .             6        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    1/29/2020     7        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .             8        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    1/31/2020     9        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            10        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/2/2020     11        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            12        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/4/2020     13        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            14        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/6/2020     15        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            16        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/8/2020     17        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            18        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/10/2020    19        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            20        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/12/2020    21        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            22        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/14/2020    23        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            24        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/16/2020    25        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            26        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/18/2020    27        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            28        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/20/2020    29        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            30        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/22/2020    31        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            32        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/24/2020    33        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            34        0       80        0        0        0        0        0
