TAB:  US_Wisconsin_Milwaukee Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Wisconsin_Milwaukee Confirmed 1/23/2020     1        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .             2        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 1/25/2020     3        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .             4        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 1/27/2020     5        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .             6        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 1/29/2020     7        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .             8        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 1/31/2020     9        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            10        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/2/2020     11        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            12        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/4/2020     13        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            14        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/6/2020     15        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            16        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/8/2020     17        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            18        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/10/2020    19        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            20        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/12/2020    21        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            22        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/14/2020    23        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            24        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/16/2020    25        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            26        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/18/2020    27        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            28        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/20/2020    29        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            30        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/22/2020    31        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            32        0     8973        0        0        0        0        0
