TAB:  US_Texas_El_Paso Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Texas_El_Paso Deaths    1/23/2020     1        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .             2        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    1/25/2020     3        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .             4        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    1/27/2020     5        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .             6        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    1/29/2020     7        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .             8        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    1/31/2020     9        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            10        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/2/2020     11        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            12        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/4/2020     13        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            14        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/6/2020     15        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            16        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/8/2020     17        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            18        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/10/2020    19        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            20        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/12/2020    21        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            22        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/14/2020    23        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            24        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/16/2020    25        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            26        0       93        0        0        0        0        0
