TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_NYC Confirmed 1/23/2020     1        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .             2        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 1/25/2020     3        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .             4        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 1/27/2020     5        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .             6        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 1/29/2020     7        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .             8        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 1/31/2020     9        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            10        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/2/2020     11        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            12        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/4/2020     13        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            14        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/6/2020     15        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            16        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/8/2020     17        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            18        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/10/2020    19        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            20        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/12/2020    21        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            22        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/14/2020    23        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            24        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/16/2020    25        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            26        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/18/2020    27        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            28        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/20/2020    29        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            30        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/22/2020    31        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            32        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/24/2020    33        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            34        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/26/2020    35        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            36        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 2/28/2020    37        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            38        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/1/2020     39        0   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            40        1   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/3/2020     41        1   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            42        1   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/5/2020     43        4   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            44       11   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/7/2020     45       11   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            46       12   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/9/2020     47       20   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            48       26   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/11/2020    49       57   207693     3836        3     3836     3836     3836
TAB:  US_New_York_NYC Confirmed .            50      100   207693    11509        1    11509   418193    19183
TAB:  US_New_York_NYC Confirmed 3/13/2020    51      162   207693    95915        1    95915   395173   395173
TAB:  US_New_York_NYC Confirmed .            52      283   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/15/2020    53      385   207693     3836        1     3836   103589   103589
TAB:  US_New_York_NYC Confirmed .            54      487   207693     3836        3     3836    65222    65222
TAB:  US_New_York_NYC Confirmed 3/17/2020    55      857   207693    19183        1    19183   525619   118935
TAB:  US_New_York_NYC Confirmed .            56     1971   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/19/2020    57     4167   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed .            58     5428   207693        0        0        0        0        0
TAB:  US_New_York_NYC Confirmed 3/21/2020    59     7936   207693    26856        1    26856   625371   625371
TAB:  US_New_York_NYC Confirmed .            60    10174   207693    19183        1    19183    49876    26856
TAB:  US_New_York_NYC Confirmed 3/23/2020    61    12968   207693    26856        3    26856   118935    42203
TAB:  US_New_York_NYC Confirmed .            62    15707   207693    34529        2    26856   172648    42203
TAB:  US_New_York_NYC Confirmed 3/25/2020    63    18819   207693    34529        3    34529   786510    65222
TAB:  US_New_York_NYC Confirmed .            64    23052   207693    42203        2    42203  1323639   134282
TAB:  US_New_York_NYC Confirmed 3/27/2020    65    26952   207693    49876        2    49876  1039728   111262
TAB:  US_New_York_NYC Confirmed .            66    31382   207693    57549        2    57549  1093441   134282
TAB:  US_New_York_NYC Confirmed 3/29/2020    67    35589   207693   118935        3    65222  1216214   141955
TAB:  US_New_York_NYC Confirmed .            68    39473   207693    72896        4    72896  1446412   126609
TAB:  US_New_York_NYC Confirmed 3/31/2020    69    43868   207693    80569        3    72896  1147154   134282
TAB:  US_New_York_NYC Confirmed .            70    48263   207693   107572        4    81335   611328   118067
TAB:  US_New_York_NYC Confirmed 4/2/2020     71    52709   207693   114251        4    84575   399138   117219
TAB:  US_New_York_NYC Confirmed .            72    59061   207693    95915        4    95915  1009035   180321
