TAB:  US_Virginia_Fairfax Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Virginia_Fairfax Confirmed 1/23/2020     1        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .             2        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 1/25/2020     3        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .             4        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 1/27/2020     5        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .             6        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 1/29/2020     7        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .             8        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 1/31/2020     9        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            10        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/2/2020     11        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            12        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/4/2020     13        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            14        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/6/2020     15        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            16        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/8/2020     17        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            18        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/10/2020    19        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            20        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/12/2020    21        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            22        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/14/2020    23        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            24        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/16/2020    25        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            26        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/18/2020    27        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            28        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/20/2020    29        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            30        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/22/2020    31        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            32        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/24/2020    33        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            34        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 2/26/2020    35        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            36        0    12695        0        0        0        0        0
