TAB:  US_Connecticut_New_Haven Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_New_Haven Deaths    1/23/2020     1        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .             2        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    1/25/2020     3        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .             4        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    1/27/2020     5        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .             6        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    1/29/2020     7        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .             8        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    1/31/2020     9        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            10        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/2/2020     11        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            12        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/4/2020     13        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            14        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/6/2020     15        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            16        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/8/2020     17        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            18        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/10/2020    19        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            20        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/12/2020    21        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            22        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/14/2020    23        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            24        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/16/2020    25        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            26        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/18/2020    27        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            28        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/20/2020    29        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            30        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/22/2020    31        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            32        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/24/2020    33        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            34        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/26/2020    35        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            36        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    2/28/2020    37        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            38        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/1/2020     39        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            40        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/3/2020     41        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            42        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/5/2020     43        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            44        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/7/2020     45        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            46        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/9/2020     47        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            48        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/11/2020    49        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            50        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/13/2020    51        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            52        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/15/2020    53        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            54        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/17/2020    55        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            56        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/19/2020    57        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            58        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/21/2020    59        0     1016        0        0      219      219      219
TAB:  US_Connecticut_New_Haven Deaths    .            60        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/23/2020    61        0     1016        0        0      217      217      217
TAB:  US_Connecticut_New_Haven Deaths    .            62        0     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/25/2020    63        2     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    .            64        2     1016        0        0        0        0        0
TAB:  US_Connecticut_New_Haven Deaths    3/27/2020    65        6     1016        0        0      658     2412     2412
TAB:  US_Connecticut_New_Haven Deaths    .            66        6     1016        0        0      219     2851      658
TAB:  US_Connecticut_New_Haven Deaths    3/29/2020    67        6     1016        0        0      219    77873     3290
