TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Snohomish Confirmed 1/23/2020     1        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .             2        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 1/25/2020     3        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .             4        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 1/27/2020     5        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .             6        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 1/29/2020     7        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .             8        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 1/31/2020     9        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            10        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/2/2020     11        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            12        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/4/2020     13        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            14        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/6/2020     15        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            16        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/8/2020     17        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            18        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/10/2020    19        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            20        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/12/2020    21        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            22        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/14/2020    23        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            24        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/16/2020    25        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            26        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/18/2020    27        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            28        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/20/2020    29        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            30        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/22/2020    31        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            32        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/24/2020    33        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            34        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/26/2020    35        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            36        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 2/28/2020    37        0     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            38        1     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 3/1/2020     39        2     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            40        4     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 3/3/2020     41        6     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            42        8     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 3/5/2020     43       18     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            44       19     3064     1528        1     1528     1528     1528
TAB:  US_Washington_Snohomish Confirmed 3/7/2020     45       27     3064      289        1      289      332      332
TAB:  US_Washington_Snohomish Confirmed .            46       31     3064       55        1       55       86       61
TAB:  US_Washington_Snohomish Confirmed 3/9/2020     47       31     3064       55        4       55       55       55
TAB:  US_Washington_Snohomish Confirmed .            48       37     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 3/11/2020    49       68     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            50      108     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed 3/13/2020    51      133     3064        0        0        0        0        0
TAB:  US_Washington_Snohomish Confirmed .            52      154     3064      283        1      283      735      735
TAB:  US_Washington_Snohomish Confirmed 3/15/2020    53      154     3064      169        2      169     1981     1981
TAB:  US_Washington_Snohomish Confirmed .            54      200     3064      283        1      283    22017      509
TAB:  US_Washington_Snohomish Confirmed 3/17/2020    55      266     3064      849        1      849    17149     6622
TAB:  US_Washington_Snohomish Confirmed .            56      310     3064      849        1      849    19300     6735
TAB:  US_Washington_Snohomish Confirmed 3/19/2020    57      348     3064      849        1      849     9339     3679
TAB:  US_Washington_Snohomish Confirmed .            58      385     3064      509        1      509     6282     3226
TAB:  US_Washington_Snohomish Confirmed 3/21/2020    59      447     3064      962        2      962     4584     3113
TAB:  US_Washington_Snohomish Confirmed .            60      480     3064      716        1      716     3186     1787
TAB:  US_Washington_Snohomish Confirmed 3/23/2020    61      519     3064      984        2      740     2560     1256
TAB:  US_Washington_Snohomish Confirmed .            62      614     3064     1301        2     1301     2773     2320
