TAB:  New_Zealand Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  New_Zealand Confirmed 1/23/2020     1        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .             2        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 1/25/2020     3        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .             4        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 1/27/2020     5        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .             6        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 1/29/2020     7        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .             8        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 1/31/2020     9        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            10        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/2/2020     11        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            12        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/4/2020     13        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            14        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/6/2020     15        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            16        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/8/2020     17        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            18        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/10/2020    19        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            20        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/12/2020    21        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            22        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/14/2020    23        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            24        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/16/2020    25        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            26        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/18/2020    27        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            28        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/20/2020    29        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            30        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/22/2020    31        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            32        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/24/2020    33        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            34        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/26/2020    35        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            36        0     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 2/28/2020    37        1     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            38        1     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/1/2020     39        1     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            40        1     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/3/2020     41        1     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            42        3     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/5/2020     43        3     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            44        4     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/7/2020     45        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            46        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/9/2020     47        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            48        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/11/2020    49        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            50        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/13/2020    51        5     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .            52        6     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 3/15/2020    53        8     1504       27        5       27       27       27
TAB:  New_Zealand Confirmed .            54        8     1504       27        5       27     1639     1639
TAB:  New_Zealand Confirmed 3/17/2020    55       12     1504       27        5       27       27       27
TAB:  New_Zealand Confirmed .            56       20     1504     1750        1     1750     7251     4028
TAB:  New_Zealand Confirmed 3/19/2020    57       28     1504        0        0        0        0        0
